Data,PPinv,time dummy,time fast,time fast general,grid,error_abs,error_sq,error_abs_general,error_sq_general,num_sparse,num_sparse_general
MNIST,DBM (UMAP+NNInv),1.210961103439331,1.3842945098876953,3.670600175857544,64,0.05783894043582342,0.020203556277312636,0.058624355077476174,0.02019971317737828,3119,4096
MNIST,DBM (UMAP+NNInv),4.316143751144409,1.5434527397155762,5.170361518859863,128,0.03580644379307981,0.007651016956199492,0.03340566283321292,0.006387985436378605,6366,7809
MNIST,DBM (UMAP+NNInv),15.701452493667603,2.977004289627075,6.006631135940552,256,0.02465186908901829,0.00401186428306076,0.02167716214666844,0.002694142208542324,13218,11034
MNIST,DBM (UMAP+NNInv),60.00312256813049,6.0002970695495605,7.0809245109558105,512,0.020373673897067724,0.0032048807346490055,0.016399119258026673,0.001780806333577851,27050,12996
MNIST,SSNP,1.1718463897705078,1.4780845642089844,54.61308979988098,64,0.039851577855031906,0.004702250261192546,0.04058757267373541,0.004603797167016618,2906,4056
MNIST,SSNP,4.148054838180542,2.5002622604370117,71.810959815979,128,0.0258558004041961,0.0023544477052579163,0.02485053243590679,0.0018626537318548473,5937,6735
MNIST,SSNP,15.636271953582764,4.349266767501831,80.25094270706177,256,0.018680967266064767,0.0014493648010912579,0.017423012635338304,0.001118156583918261,12018,8520
MNIST,SSNP,61.61037516593933,8.0060133934021,85.47427558898926,512,0.015719431223273798,0.0012212938438103005,0.014647375700411268,0.0010047201869891676,24279,9448
HAR,DBM (UMAP+NNInv),0.9468681812286377,0.7940206527709961,2.4404776096343994,64,0.03233061291572644,0.025492675328088542,0.032376619600711365,0.02516698738820859,3297,3343
HAR,DBM (UMAP+NNInv),3.593299388885498,1.5577912330627441,3.519523859024048,128,0.01946714538261012,0.009180166019877102,0.019536233855389606,0.008696060398577662,7041,5780
HAR,DBM (UMAP+NNInv),13.836836338043213,3.1676437854766846,4.172809839248657,256,0.013076318739388667,0.004439070007309326,0.013461242412813703,0.004164071788079358,14710,7676
HAR,DBM (UMAP+NNInv),53.39985799789429,6.228222608566284,4.673452854156494,512,0.01025353528526122,0.0032104764205601235,0.010565555930569862,0.002951798546714957,30028,8885
HAR,SSNP,1.0275108814239502,1.214437484741211,27.390111207962036,64,0.017942175687550115,0.004280203306986614,0.017606243939150328,0.004162534420497575,2392,2680
HAR,SSNP,3.828300952911377,1.9251222610473633,40.193175077438354,128,0.010661854381467823,0.001613415146692149,0.010493368965287546,0.0015761110856285323,4510,4207
HAR,SSNP,14.896272420883179,3.204500436782837,46.54114294052124,256,0.00730460378041759,0.0009235860943492529,0.00711725220573904,0.0009101432768817572,8795,5362
HAR,SSNP,57.441200733184814,5.5730204582214355,45.42039895057678,512,0.005617667716475656,0.0007367820404775229,0.005687575723122663,0.0007808984723576988,17320,5684
FashionMNIST,DBM (UMAP+NNInv),1.0632495880126953,0.8495502471923828,2.706052780151367,64,0.0413685380966579,0.01791493973246931,0.04028577102352861,0.01741985258559114,3148,3367
FashionMNIST,DBM (UMAP+NNInv),4.018992185592651,1.659008502960205,4.520411968231201,128,0.025645479249286958,0.007123637965955388,0.02408552511971842,0.005918101165521351,6834,6249
FashionMNIST,DBM (UMAP+NNInv),15.753416299819946,3.362414836883545,5.7819061279296875,256,0.017365603136643485,0.00349592008995511,0.01629937884520443,0.0025927322613026015,14793,9148
FashionMNIST,DBM (UMAP+NNInv),58.935110330581665,6.74789023399353,6.850449323654175,512,0.013982043876502795,0.0025734129853238713,0.012936248271009079,0.0017826690095326958,30886,11462
FashionMNIST,SSNP,1.1385688781738281,1.39371919631958,46.50239419937134,64,0.03690896905982773,0.003732168013897962,0.03577718052121455,0.003480687934146666,2623,3664
FashionMNIST,SSNP,4.131366014480591,2.275177478790283,68.18350481987,128,0.02320913282155357,0.0017354765414358657,0.022132175969880374,0.0015205770478870213,5190,6307
FashionMNIST,SSNP,15.839698076248169,3.9086267948150635,88.33636021614075,256,0.01680769707840069,0.001146733233665537,0.015762926723989525,0.0009994563562796012,10425,8708
FashionMNIST,SSNP,60.47639799118042,6.989278078079224,93.66589498519897,512,0.014161941117902794,0.0009887751466364123,0.012958806252288367,0.0008499383085718856,20989,10385
